dir,date,result,note
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.35-mass0.05-mh100-co1.5-phase0,2023-6-28-20:41:12,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.35-mass0.05-mh100-co1.5-phase45,2023-6-28-20:42:54,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.35-mass0.05-mh100-co1.5-phase120,2023-6-28-20:47:40,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.35-mass0.05-mh100-co1.5-phase90,2023-6-28-20:43:46,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.35-mass0.05-mh100-co1.5-phase140,2023-6-28-20:53:32,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.54-mass0.09-mh50-co0.5-phase0,2023-6-28-22:26:16,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.54-mass0.09-mh50-co0.5-phase45,2023-6-28-22:29:47,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.54-mass0.09-mh50-co0.5-phase120,2023-6-28-22:34:29,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.54-mass0.09-mh50-co1.5-phase120,2023-6-28-22:38:3,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.54-mass0.09-mh50-co1.5-phase140,2023-6-28-22:43:1,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.54-mass0.09-mh50-co1.5-phase90,2023-6-28-22:33:31,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.54-mass0.09-mh50-co1.5-phase0,2023-6-28-22:28:38,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.54-mass0.09-mh50-co0.5-phase90,2023-6-28-22:32:8,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.54-mass0.09-mh50-co1.5-phase45,2023-6-28-22:32:7,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.54-mass0.09-mh50-co0.5-phase140,2023-6-28-22:41:45,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.8-mass0.3-mh10-co0.5-phase45,2023-6-29-1:53:49,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.8-mass0.3-mh10-co0.5-phase90,2023-6-29-1:54:48,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.8-mass0.3-mh10-co0.5-phase140,2023-6-29-1:57:21,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.8-mass0.3-mh10-co0.5-phase0,2023-6-29-1:58:35,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.8-mass0.3-mh10-co1.5-phase0,2023-6-29-2:0:18,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.8-mass0.3-mh10-co1.5-phase45,2023-6-29-2:2:0,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.8-mass0.3-mh10-co0.5-phase45,2023-6-29-2:1:52,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.8-mass0.3-mh10-co1.5-phase90,2023-6-29-1:31:52,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.8-mass0.3-mh10-co0.5-phase90,2023-6-29-2:4:56,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.8-mass0.3-mh10-co0.5-phase120,2023-6-29-2:6:30,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.8-mass0.3-mh10-co0.5-phase0,2023-6-29-1:44:1,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.8-mass0.3-mh10-co1.5-phase140,2023-6-29-2:8:27,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.8-mass0.3-mh10-co0.5-phase140,2023-6-29-2:8:17,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.8-mass0.3-mh10-co1.5-phase140,2023-6-29-1:41:4,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.8-mass0.3-mh10-co0.5-phase120,2023-6-29-1:56:15,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.8-mass0.3-mh10-co1.5-phase120,2023-6-29-2:6:40,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.8-mass0.3-mh10-co1.5-phase90,2023-6-29-2:6:15,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Jupiter-Tstar3000-Rstar0.2-Teq59-sep1.0-rad1.0-mass1.0-mh3-co1.5-phase0,2023-6-29-2:47:0,FAILED,Many points in your profile went off the grid. Try re-starting from a different guess profile. Parametrized profiles can work better sometime as guess profiles. 
