dir,date,result,note
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.35-mass0.05-mh100-co0.5-phase120,2023-6-28-20:25:41,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.35-mass0.05-mh100-co0.5-phase0,2023-6-28-20:25:40,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.35-mass0.05-mh100-co0.5-phase90,2023-6-28-20:25:41,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.35-mass0.05-mh100-co1.5-phase90,2023-6-28-20:25:41,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.35-mass0.05-mh100-co1.5-phase0,2023-6-28-20:25:41,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.35-mass0.05-mh100-co1.5-phase45,2023-6-28-20:25:41,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.35-mass0.05-mh100-co0.5-phase120,2023-6-28-20:27:49,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.35-mass0.05-mh100-co0.5-phase140,2023-6-28-20:27:49,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.35-mass0.05-mh100-co0.5-phase0,2023-6-28-20:27:49,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.35-mass0.05-mh100-co0.5-phase90,2023-6-28-20:27:49,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.35-mass0.05-mh100-co1.5-phase0,2023-6-28-20:27:51,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.35-mass0.05-mh100-co0.5-phase45,2023-6-28-20:27:49,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.35-mass0.05-mh100-co1.5-phase45,2023-6-28-20:27:59,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.35-mass0.05-mh100-co1.5-phase140,2023-6-28-20:27:58,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.35-mass0.05-mh100-co1.5-phase120,2023-6-28-20:28:0,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.35-mass0.05-mh100-co0.5-phase45,2023-6-28-20:25:41,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.35-mass0.05-mh100-co1.5-phase45,2023-6-28-20:31:54,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.35-mass0.05-mh100-co1.5-phase120,2023-6-28-20:25:42,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.35-mass0.05-mh100-co1.5-phase90,2023-6-28-20:28:0,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.35-mass0.05-mh100-co1.5-phase0,2023-6-28-20:31:16,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.35-mass0.05-mh100-co0.5-phase120,2023-6-28-20:33:15,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.35-mass0.05-mh100-co1.5-phase120,2023-6-28-20:33:20,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.35-mass0.05-mh100-co0.5-phase140,2023-6-28-20:33:21,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.35-mass0.05-mh100-co1.5-phase140,2023-6-28-20:37:36,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.35-mass0.05-mh100-co1.5-phase90,2023-6-28-20:32:53,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.35-mass0.05-mh100-co0.5-phase45,2023-6-28-20:31:42,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.35-mass0.05-mh100-co0.5-phase0,2023-6-28-20:31:9,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.35-mass0.05-mh100-co0.5-phase90,2023-6-28-20:43:19,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.35-mass0.05-mh100-co0.5-phase45,2023-6-28-20:42:27,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq34-sep3.0-rad0.35-mass0.05-mh100-co0.5-phase90,2023-6-28-20:32:47,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.35-mass0.05-mh100-co0.5-phase140,2023-6-28-20:52:31,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq19-sep10.0-rad0.35-mass0.05-mh100-co0.5-phase0,2023-6-28-20:40:49,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.35-mass0.05-mh100-co0.5-phase45,2023-6-28-20:27:50,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.35-mass0.05-mh100-co0.5-phase0,2023-6-28-20:27:49,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.35-mass0.05-mh100-co0.5-phase120,2023-6-28-20:27:57,FAILED,division by zero 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq59-sep1.0-rad0.35-mass0.05-mh100-co0.5-phase140,2023-6-28-20:28:0,FAILED,division by zero 
