dir,date,result,note
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.35-mass0.05-mh100-co1.5-phase45,2023-6-29-1:16:15,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.35-mass0.05-mh100-co1.5-phase140,2023-6-29-1:17:28,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.35-mass0.05-mh100-co1.5-phase0,2023-6-29-1:19:35,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.35-mass0.05-mh100-co1.5-phase120,2023-6-29-1:26:56,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.54-mass0.09-mh50-co0.5-phase0,2023-6-29-1:57:14,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.54-mass0.09-mh50-co1.5-phase0,2023-6-29-2:8:16,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.54-mass0.09-mh50-co0.5-phase45,2023-6-29-2:8:27,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.54-mass0.09-mh50-co0.5-phase140,2023-6-29-2:53:23,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.54-mass0.09-mh50-co1.5-phase90,2023-6-29-2:58:17,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.54-mass0.09-mh50-co1.5-phase120,2023-6-29-3:6:13,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Jupiter-Tstar3000-Rstar0.2-Teq84-sep0.5-rad1.0-mass1.0-mh3-co1.5-phase45,2023-6-29-3:41:28,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Jupiter-Tstar3000-Rstar0.2-Teq84-sep0.5-rad1.0-mass1.0-mh3-co1.5-phase120,2023-6-29-3:52:13,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.8-mass0.3-mh10-co0.5-phase0,2023-6-29-4:21:5,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.8-mass0.3-mh10-co0.5-phase140,2023-6-29-5:46:44,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Jupiter-Tstar3000-Rstar0.2-Teq84-sep0.5-rad1.0-mass1.0-mh3-co1.5-phase140,2023-6-29-7:3:41,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar5000-Rstar0.8-Teq114-sep3.0-rad0.35-mass0.05-mh100-co0.5-phase0,2023-6-29-8:38:42,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar5000-Rstar0.8-Teq114-sep3.0-rad0.35-mass0.05-mh100-co0.5-phase140,2023-6-29-9:35:20,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar5000-Rstar0.8-Teq114-sep3.0-rad0.35-mass0.05-mh100-co1.5-phase45,2023-6-29-9:36:45,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar5000-Rstar0.8-Teq114-sep3.0-rad0.35-mass0.05-mh100-co1.5-phase120,2023-6-29-9:54:23,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar5000-Rstar0.8-Teq114-sep3.0-rad0.35-mass0.05-mh100-co1.5-phase140,2023-6-29-10:12:51,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar5000-Rstar0.8-Teq114-sep3.0-rad0.54-mass0.09-mh50-co1.5-phase0,2023-6-29-11:20:13,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar5000-Rstar0.8-Teq114-sep3.0-rad0.54-mass0.09-mh50-co1.5-phase45,2023-6-29-11:32:14,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar5000-Rstar0.8-Teq114-sep3.0-rad0.54-mass0.09-mh50-co1.5-phase90,2023-6-29-11:48:38,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar5000-Rstar0.8-Teq114-sep3.0-rad0.54-mass0.09-mh50-co1.5-phase120,2023-6-29-12:1:41,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar5000-Rstar0.8-Teq114-sep3.0-rad0.54-mass0.09-mh50-co1.5-phase140,2023-6-29-12:10:31,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.35-mass0.05-mh100-co1.5-phase90,2023-6-29-13:8:26,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.54-mass0.09-mh50-co0.5-phase90,2023-6-29-14:46:10,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.54-mass0.09-mh50-co0.5-phase120,2023-6-29-15:3:6,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.54-mass0.09-mh50-co1.5-phase45,2023-6-29-15:11:30,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar5000-Rstar0.8-Teq114-sep3.0-rad0.35-mass0.05-mh100-co0.5-phase45,2023-6-29-15:16:31,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar5000-Rstar0.8-Teq114-sep3.0-rad0.35-mass0.05-mh100-co0.5-phase120,2023-6-29-15:16:53,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar5000-Rstar0.8-Teq114-sep3.0-rad0.35-mass0.05-mh100-co0.5-phase90,2023-6-29-15:36:11,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperNep-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.54-mass0.09-mh50-co1.5-phase140,2023-6-29-15:37:31,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.8-mass0.3-mh10-co0.5-phase45,2023-6-29-16:1:58,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.8-mass0.3-mh10-co0.5-phase90,2023-6-29-16:12:4,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar5000-Rstar0.8-Teq114-sep3.0-rad0.35-mass0.05-mh100-co1.5-phase0,2023-6-29-16:13:23,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Saturn-Tstar3000-Rstar0.2-Teq84-sep0.5-rad0.8-mass0.3-mh10-co0.5-phase120,2023-6-29-16:16:35,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar5000-Rstar0.8-Teq114-sep3.0-rad0.35-mass0.05-mh100-co1.5-phase90,2023-6-29-16:32:34,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Jupiter-Tstar5000-Rstar0.8-Teq114-sep3.0-rad1.0-mass1.0-mh3-co1.5-phase0,2023-6-29-17:35:5,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Jupiter-Tstar5000-Rstar0.8-Teq114-sep3.0-rad1.0-mass1.0-mh3-co1.5-phase90,2023-6-29-17:44:38,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Jupiter-Tstar5000-Rstar0.8-Teq114-sep3.0-rad1.0-mass1.0-mh3-co1.5-phase45,2023-6-29-17:46:1,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Jupiter-Tstar5000-Rstar0.8-Teq114-sep3.0-rad1.0-mass1.0-mh3-co1.5-phase120,2023-6-29-19:8:45,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Jupiter-Tstar5000-Rstar0.8-Teq114-sep3.0-rad1.0-mass1.0-mh3-co1.5-phase140,2023-6-29-19:15:19,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperJup-Tstar5000-Rstar0.8-Teq114-sep3.0-rad0.9-mass5.0-mh1-co1.5-phase0,2023-6-29-20:32:54,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperJup-Tstar5000-Rstar0.8-Teq114-sep3.0-rad0.9-mass5.0-mh1-co1.5-phase45,2023-6-29-20:34:30,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperJup-Tstar5000-Rstar10.0-Teq2205-sep0.1-rad0.9-mass5.0-mh1-co1.5-phase0,2023-6-29-20:52:42,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperJup-Tstar5000-Rstar10.0-Teq2205-sep0.1-rad0.9-mass5.0-mh1-co1.5-phase45,2023-6-29-20:58:33,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperJup-Tstar5000-Rstar10.0-Teq2205-sep0.1-rad0.9-mass5.0-mh1-co1.5-phase90,2023-6-29-20:59:55,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperJup-Tstar5000-Rstar10.0-Teq2205-sep0.1-rad0.9-mass5.0-mh1-co1.5-phase120,2023-6-29-21:1:13,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperJup-Tstar5000-Rstar10.0-Teq2205-sep0.1-rad0.9-mass5.0-mh1-co1.5-phase140,2023-6-29-21:3:39,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperJup-Tstar5000-Rstar0.8-Teq114-sep3.0-rad0.9-mass5.0-mh1-co1.5-phase90,2023-6-29-21:9:34,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperJup-Tstar5000-Rstar0.8-Teq114-sep3.0-rad0.9-mass5.0-mh1-co1.5-phase140,2023-6-29-21:21:22,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-SuperJup-Tstar5000-Rstar0.8-Teq114-sep3.0-rad0.9-mass5.0-mh1-co1.5-phase120,2023-6-29-21:29:35,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar7000-Rstar1.7-Teq127-sep10.0-rad0.35-mass0.05-mh100-co1.5-phase0,2023-6-30-0:32:53,FAILED, failed to converge 
/data2/lpearce/ReflectXGasGiantModelGrid/ReflectXGasGiantModelGrid-Neptune-Tstar7000-Rstar1.7-Teq127-sep10.0-rad0.35-mass0.05-mh100-co1.5-phase45,2023-6-30-0:38:0,FAILED, failed to converge 
