"wavelength [um]" "planet flux [ergs/cm2/s/cm]" "star flux [ergs/cm2/s/cm]" albedo "planet-star contrast"
1.9992222541344442 449815.1522264807 46050890166948.414 9.200072852887908e-05 9.767784088337156e-09
1.9952278040762335 267312.05014570884 46357860843521.67 5.431132078999811e-05 5.766272327534817e-09
1.9912413349372202 301648.21244867303 46694213434329.39 6.0846122462153746e-05 6.4600769616327346e-09
1.9872628307715117 362824.2968803364 46947729635112.5 7.27908821575656e-05 7.728260763625466e-09
1.983292275665075 236391.44528810136 47223468349586.71 4.714863133825182e-05 5.005804392386825e-09
1.9793296537356744 169538.23307144234 44954742470333.61 3.552117749040452e-05 3.771309182414369e-09
1.975374949132806 299545.92660292174 47972561549410.18 5.88119696814324e-05 6.2441094852606355e-09
1.9714281460376357 154127.45577045484 48340871113745.08 3.0030374793091374e-05 3.188346676827484e-09
1.9674892286629353 234175.3958183135 48661921030442.58 4.53259826898273e-05 4.812292463172897e-09
1.9635581812530192 220373.27032949222 48950066453086.516 4.24034161515824e-05 4.502001453679267e-09
1.9596349880836827 256356.63188511433 49360352209429.73 4.891719234833282e-05 5.193573797800826e-09
1.955719633462137 260483.36651732845 49773690339896.875 4.9291878552678754e-05 5.233354503926223e-09
1.951812101726948 215047.95402591917 50028155975767.53 4.048704077371063e-05 4.2985384896074e-09
1.9479123772479732 191092.73956530288 49903178191750.695 3.6067097709270585e-05 3.829269928080286e-09
1.944020444426299 190292.8805958487 46664370282545.75 3.8408942145249724e-05 4.077905250700993e-09
1.9401362876941786 251648.57869399473 50896812959256.58 4.656923549731236e-05 4.944289515641028e-09
1.9362598915149694 283548.0564241999 51541716117656.516 5.181589636091996e-05 5.501331305634691e-09
1.9323912403830714 238566.70696268423 51882905856665.61 4.330925957804964e-05 4.598175507396616e-09
1.9285303188238647 214068.84740482585 52297649992496.766 3.8553739782062596e-05 4.093278520842498e-09
1.9246771113936474 378769.3298565177 52694980530831.445 6.770188681414585e-05 7.187958436286025e-09
1.9208316026795742 217270.60590121188 52968168632657.99 3.863502816476141e-05 4.101908967402958e-09
1.916993777299595 371434.3573641305 53402671600312.42 6.551101136096095e-05 6.9553516000865674e-09
1.9131636199023931 256915.43917778257 53848677264800.86 4.493765225238528e-05 4.771063138921704e-09
1.9093411151673234 523936.3222434943 54075951378623.52 9.125770729051909e-05 9.688896984447855e-09
1.9055262478043524 314601.0253641636 54382365200941.64 5.448754704095144e-05 5.784982396438989e-09
1.9017190025539936 313906.1546964987 54621896441006.89 5.41287841013894e-05 5.7468922748869725e-09
1.8979193641872527 420517.1479304574 55348580356546.31 7.156034725859265e-05 7.597613980730059e-09
1.89412731750556 551462.4084645502 53284496449373.04 9.747881981668133e-05 1.0349397014354986e-08
1.8903428473407138 601854.366537606 56101763151244.82 0.00010104390470747216 1.0727904663442858e-08
1.8865659385548181 640657.9764683343 56501554362398.016 0.00010679749285137663 1.1338767290527753e-08
1.8827965760402232 566802.4886177126 56836547328963.76 9.392890853699423e-05 9.97250035856544e-09
1.8790347447194637 325705.9819113566 56696040263355.445 5.4108839804009473e-05 5.74477477436588e-09
1.875280429545199 230283.15199964747 36596307599112.29 5.926797802502401e-05 6.292524221903562e-09
1.8715336155001538 205573.742480419 57604511340969.26 3.361292919593738e-05 3.568709076683229e-09
1.867794287597057 312405.15647228714 58133259685181.516 5.06161062572514e-05 5.373948719960063e-09
1.8640624308785814 587490.8641788064 58968342126255.46 9.383771302278021e-05 9.96281806466504e-09
1.8603380304172854 437232.0008511521 59408211608667.66 6.932033880995559e-05 7.359790658760715e-09
1.8566210713155527 418438.96232677466 59688621527875.99 6.602916152790089e-05 7.010363979194156e-09
1.8529115387055317 389901.01438502606 59589761643452.734 6.162797986832214e-05 6.543087329631321e-09
1.8492094177490772 387849.7109077412 60684060500773.66 6.01982761139365e-05 6.391294644872957e-09
1.8455146936376907 676926.8672357667 61060075390123.53 0.00010441902425827915 1.1086243554577394e-08
1.8418273515924608 485625.83563438884 61406248692091.49 7.448767719162387e-05 7.908410723303679e-09
1.8381473768640044 272202.7925691523 60329325547283.5 4.2497102606666304e-05 4.511948212578833e-09
