"wavelength [um]" "planet flux [ergs/cm2/s/cm]" "star flux [ergs/cm2/s/cm]" albedo "planet-star contrast"
1.9992222541344442 42328.08163512358 51249869855871.68 6.599814341935236e-05 8.259158853312495e-10
1.9952278040762335 33188.13414970056 51605992894198.16 5.138999767754399e-05 6.431062031447081e-10
1.9912413349372202 29027.177430262178 52032791658210.805 4.457830792273288e-05 5.578631571593117e-10
1.9872628307715117 36659.14433791073 52338299282156.58 5.5970426596016305e-05 7.004267398961651e-10
1.983292275665075 24267.062231638098 52674160524521.98 3.681420957810728e-05 4.607014519071602e-10
1.9793296537356744 20923.937555346405 49052430559728.56 3.408621531760874e-05 4.2656270681364967e-10
1.975374949132806 33772.56954212034 53348801254165.0 5.0586582288670406e-05 6.330520789252726e-10
1.9714281460376357 16935.210642545273 53807535255935.35 2.5150313523621908e-05 3.147367847643086e-10
1.9674892286629353 28378.792277892106 54196318597870.49 4.184273090606733e-05 5.236295197181009e-10
1.9635581812530192 23442.027354848236 54231157823691.984 3.454157936505352e-05 4.3226123681628476e-10
1.9596349880836827 29303.233283981346 54846222940648.52 4.269379075946274e-05 5.342798776807593e-10
1.955719633462137 26206.06960730001 55399643154838.195 3.7799914921181184e-05 4.730367943716866e-10
1.951812101726948 21408.301392357473 55591475702328.36 3.0773004966929935e-05 3.8510043350874423e-10
1.9479123772479732 18409.237695272 55076154868781.55 2.6709643548966085e-05 3.3425059790633255e-10
1.944020444426299 21434.38768290793 51028877265987.69 3.356533359234079e-05 4.200442735822175e-10
1.9401362876941786 33360.416445220566 56241381055410.92 4.739924086785993e-05 5.931649582422726e-10
1.9362598915149694 35734.985055270605 57343163735253.766 4.979753598146294e-05 6.231777726854167e-10
1.9323912403830714 30539.973271100785 57705025779882.67 4.2291288066352475e-05 5.292428667755268e-10
1.9285303188238647 26433.387302403622 58274798184570.98 3.624665553435036e-05 4.5359895059065534e-10
1.9246771113936474 52186.69255124465 58731630813419.81 7.10041303503752e-05 8.885619525368315e-10
1.9208316026795742 33834.1825919829 58517980364281.66 4.6202157820974086e-05 5.781843867707145e-10
1.916993777299595 54105.721270375725 59281664331423.88 7.293209724338519e-05 9.126889718866327e-10
1.9131636199023931 40360.365651083186 60060602943744.98 5.3698394831523365e-05 6.719940139276695e-10
1.9093411151673234 73858.4247238942 60113508887529.64 9.818018840000843e-05 1.2286493683488155e-09
1.9055262478043524 48958.40247429971 60524145707926.32 6.463897625514136e-05 8.089069560859255e-10
1.9017190025539936 51496.27716300045 60879039808525.61 6.759334499668082e-05 8.458786032921107e-10
1.8979193641872527 62992.64907133542 61712747364057.32 8.156632412783861e-05 1.0207396650116333e-09
1.89412731750556 75486.81802015545 56665772030218.555 0.00010645013299485715 1.3321413494534242e-09
1.8903428473407138 92055.35719509466 62416683958696.56 0.00011785398582405688 1.4748517761054258e-09
1.8865659385548181 90498.70590226994 62854873566551.7 0.00011505336133285063 1.439804119667006e-09
1.8827965760402232 84956.98338336134 63283224334118.13 0.00010727694170237245 1.3424882230211861e-09
1.8790347447194637 50720.40940339814 62606035959247.16 6.47384718242968e-05 8.101520664303701e-10
1.875280429545199 39364.6159617026 41260434577380.54 7.62374076687015e-05 9.540523837158697e-10
1.8715336155001538 35448.23899119229 63749788668675.79 4.44336321198389e-05 5.560526510201624e-10
1.867794287597057 57993.1570417457 64552007624524.94 7.17898254288282e-05 8.983943207323677e-10
1.8640624308785814 96102.56108001286 65659159554671.46 0.00011695951037729601 1.4636581054619279e-09
1.8603380304172854 64036.16743721003 66281952451567.47 7.720153545934784e-05 9.661176997464212e-10
1.8566210713155527 66128.0925974763 66449439071612.375 7.952260097792449e-05 9.951640453459696e-10
1.8529115387055317 59939.57294901585 64948218092969.24 7.374665111265606e-05 9.228824856013165e-10
1.8492094177490772 58854.592264707586 67665356136967.65 6.950401337467056e-05 8.697891450622769e-10
1.8455146936376907 101591.20818383295 68121117542441.1 0.00011917091135891397 1.4913320839244772e-09
1.8418273515924608 77137.75272746125 68243245105145.086 9.032401027743084e-05 1.1303353556621179e-09
1.8381473768640044 43160.388054500814 64567971470716.35 5.3415106394955796e-05 6.684488775379205e-10
1.8344747547324078 58499.10386326518 69603319674545.78 6.71606915275893e-05 8.404642786694345e-10
1.8308094705071685 95719.35038311727 70005746368890.25 0.00010926019008583941 1.3673070476062212e-09
1.8271515095271345 66945.69594812959 70406949117368.12 7.598065520997676e-05 9.50839324631598e-10
1.823500857160447 95263.55009207797 70556266397538.94 0.0001078914599866188 1.3501784456015497e-09
1.8198574988044818 68168.590077988 67637192338718.77 8.053685006358147e-05 1.0078565907438626e-09
