"wavelength [um]" "planet flux [ergs/cm2/s/cm]" "star flux [ergs/cm2/s/cm]" albedo "planet-star contrast"
1.9997220540731855 402.435129363375 11098537806294.898 1.2960744830487248e-05 3.626019358470093e-11
1.99872244294893 307.1206956396638 10453791835040.057 1.0501106838127226e-05 2.937887997828942e-11
1.997723331505317 160.12843835055838 9506265580192.602 6.02085775619831e-06 1.6844515546063054e-11
1.9967247194925672 231.6378763581592 11678405824836.756 7.089667274712499e-06 1.9834717155104265e-11
1.995726606661029 174.33826408867114 10470315720626.346 5.951586935984922e-06 1.6650717011830666e-11
1.9947289927611738 321.02949492523186 12714078168829.068 9.025263706250173e-06 2.5249923011508258e-11
1.9937318775435977 56.86145484725954 11203102182276.285 1.8141763961800075e-06 5.07550979381554e-12
1.992735260759022 101.26353621996867 9859276414301.91 3.671198681008298e-06 1.0270889258472897e-11
1.991739142158293 217.98923790278275 8091447756014.894 9.629609161784233e-06 2.6940696458274397e-11
1.9907435214923805 268.13206628034857 10717857127059.363 8.94212288006674e-06 2.5017320449569702e-11
1.9897483985123796 40.237355271190744 9158774567843.035 1.5703335161594163e-06 4.393312115407483e-12
1.9887537729695093 262.30972099591537 12656569763548.918 7.407952861876805e-06 2.0725182722997402e-11
1.9877596446151133 104.12332055436374 11435625568576.354 3.2545273424518067e-06 9.105170498103873e-12
1.9867660132006595 356.746906773657 8296956855217.923 1.5368844853092446e-05 4.29973197401045e-11
1.9857728784777402 88.32460780481425 8579269175260.037 3.679859740136552e-06 1.0295120248647187e-11
1.9847802401980714 73.258670918577 12155404285462.947 2.1542171019914556e-06 6.026839519125619e-12
1.9837880981134939 265.5751323584317 11434528680524.113 8.301737185398607e-06 2.3225717454430206e-11
1.9827964519759718 194.07039095316935 10109974915785.8 6.8613416469388246e-06 1.919593199486046e-11
1.9818053015375934 48.37818497648832 11794573377925.5 1.466112093491211e-06 4.101732502426244e-12
1.9808146465505714 157.13945745066263 12331240258774.053 4.554894599467122e-06 1.2743199723065418e-11
1.9798244867672423 52.65083348493767 11112134266899.63 1.6935873937514092e-06 4.7381387067803715e-12
1.9788348219400658 190.29884206877216 10134815483470.42 6.7115084521981885e-06 1.8776744616529415e-11
1.9778456518216254 36.049145910647 8986074148673.889 1.433919675214373e-06 4.011667978053232e-12
1.9768569761646289 183.77081834912397 11057883987143.904 5.940245062946348e-06 1.6618985925587504e-11
1.9758687947219078 384.65866877152496 10145312666784.502 1.3552203994075673e-05 3.791491513424596e-11
1.9748811072464156 133.6648373791374 12949424006759.719 3.6894919322729707e-06 1.0322068171477211e-11
1.9738939134912312 61.74597560226006 11206094342590.574 1.969492015925009e-06 5.5100353177988596e-12
1.9729072132095566 137.00057688846672 10485323458871.719 4.6702529718829156e-06 1.3065937109698738e-11
1.9719210061547154 116.67254940350531 12274881363986.336 3.397435546053477e-06 9.504983872660034e-12
1.9709352920801566 45.167037083027004 11833226418974.824 1.3643263585701158e-06 3.81696719760223e-12
1.969950070739452 57.9252613767755 13871097766916.02 1.492646652726139e-06 4.175968070453165e-12
1.9689653418862958 162.48789033701578 12574221563978.98 4.618912482725478e-06 1.2922302148905209e-11
1.967981105274506 332.8462730334102 12370657332587.953 9.617246847744747e-06 2.6906110490717025e-11
1.9669973606580227 86.3457733506965 12710692215416.13 2.428128816069646e-06 6.7931605838092954e-12
1.9660141077909103 71.21518713535126 11868877559635.262 2.144681532686602e-06 6.000161917378457e-12
1.9650313464273563 184.37304512838693 11811190646905.127 5.579606750161613e-06 1.561003040592677e-11
1.964049076321669 189.0404577136974 11974467377523.01 5.64284858542324e-06 1.5786961687209638e-11
1.9630672972282819 78.09249267225672 12512032566354.941 2.230905948074334e-06 6.2413914172705e-12
1.9620860089017493 55.843512884935485 12784325210194.16 1.5613302080886215e-06 4.3681236175379934e-12
1.9611052110967502 378.6693793702816 13404868281045.943 1.009711910002065e-05 2.8248646046429867e-11
1.9601249035680839 245.00159513666534 12594076434526.86 6.953483512103176e-06 1.9453716706450152e-11
1.9591450860706745 86.5930090487646 13389091155858.322 2.3117005429756624e-06 6.467429942836435e-12
1.9581657583595669 61.79149781675527 9976351135859.316 2.213894075400268e-06 6.193797409019609e-12
1.9571869201899295 203.03910052560317 13318935151031.766 5.44891481466778e-06 1.5244394407151575e-11
1.956208571317053 127.23742342521983 12791381308919.68 3.555471998314786e-06 9.947121452512302e-12
1.9552307114963499 68.88245538053037 12725452113862.31 1.9347962658575463e-06 5.412967237957238e-12
1.954253340483355 247.54546444615477 11664251486912.256 7.5857397839886095e-06 2.122257606704643e-11
1.9532764580337263 261.0799400074209 10870167872964.695 8.584936656464627e-06 2.401802281791392e-11
1.9523000639032417 40.19744773265847 10958308811491.799 1.311157266702579e-06 3.6682163666079625e-12
1.9513241578478042 79.459315192509 8761649976126.235 3.241595050121707e-06 9.068989905898994e-12
1.9503487396234367 56.64494439384797 10072433046283.719 2.010141397147919e-06 5.623759833752129e-12
1.9493738089862844 128.074159393446 11174676530422.604 4.096626740327331e-06 1.1461106640963547e-11
1.9483993656926146 68.45027667432082 11231466323836.264 2.1784048267796207e-06 6.0945093633099795e-12
1.9474254094988168 47.69517608010686 11539788182368.902 1.4773264082463414e-06 4.13310671966909e-12
1.9464519401614022 162.79720878768993 10651497681929.879 5.463061873977894e-06 1.528397354522953e-11
1.9454789574370026 124.48242397424319 10010599567286.916 4.444754608830875e-06 1.2435061770029481e-11
1.9445064610823732 196.3708221452097 11341504944023.816 6.1887952388197575e-06 1.731435317573824e-11
1.943534450854389 78.20889051991016 11865365618903.592 2.3559975901516662e-06 6.591359510684592e-12
1.9425629265100484 130.79640115113892 12540427571634.96 3.728063425356677e-06 1.0429979392966289e-11
1.9415918878064693 163.40808420361154 13861433468991.65 4.213715750420639e-06 1.1788685821647466e-11
1.9406213345008927 207.85303533448607 10878347859540.025 6.829568585723977e-06 1.910704070307923e-11
1.93965126635068 105.0227800377277 10465135620129.95 3.5870587636320987e-06 1.0035491545442925e-11
1.9386816831133142 237.50171169456087 10909015347882.934 7.78181735206158e-06 2.177114103525868e-11
1.9377125845463996 286.6741674122254 12591234443229.793 8.138045084246604e-06 2.2767757101557888e-11
1.936743970407661 97.6946576243674 12337091099194.049 2.830465629434755e-06 7.918775733993691e-12
1.9357758404549454 198.4426038985679 11874502200265.668 5.973369041432467e-06 1.6711656670047874e-11
1.9348081944462203 334.72836243666535 12422204115125.064 9.631494784456631e-06 2.694597185286191e-11
1.9338410321395738 115.50212277904487 8706637844108.373 4.74175736996561e-06 1.3265984510565476e-11
1.932874353293216 182.58693104973665 11529208879501.959 5.660698491259189e-06 1.5836900255520748e-11
1.9319081576654769 50.90444835261919 9772474685686.959 1.8618771552101283e-06 5.208961904723608e-12
1.9309424450148067 238.04574547429976 11137899822769.682 7.639359684895233e-06 2.137258812362926e-11
1.9299772150997783 185.27847806651945 12825460944804.611 5.163590987422516e-06 1.4446145745862865e-11
1.9290124676790836 252.8410051928815 13667426991202.586 6.612422387444664e-06 1.849953216180555e-11
1.928048202511536 127.9487433221767 13093139574329.598 3.4929475891170436e-06 9.77219730957676e-12
1.9270844193560694 97.86974146420305 11498995540129.623 3.042204311864843e-06 8.511155702483193e-12
1.9261211179717372 410.24034187653206 12685627765116.057 1.1559159161459232e-05 3.233898625061689e-11
1.925158298117715 446.09364250182267 13640834253224.98 1.1689204161517019e-05 3.2702812322227046e-11
1.9241959595532978 389.2399473717989 12032598767178.523 1.1562661506505116e-05 3.234878473913165e-11
1.9232341020379 268.3680552619146 14104958638057.486 6.800781849947046e-06 1.902650423502935e-11
1.922272725331058 98.29003972893088 11627070723152.791 3.021614378872457e-06 8.453551377580217e-12
1.9213118291924274 122.09502782094188 13153482167538.248 3.317852537424975e-06 9.282334994322852e-12
1.9203514133817838 225.380797911027 14113905942986.652 5.7078103570534e-06 1.596870482355886e-11
1.9193914776590235 588.1365912180638 13166674682767.777 1.5966213662991345e-05 4.4668574669639454e-11
1.9184320217841628 278.2209334332083 12707317007562.527 7.825926792992132e-06 2.1894545738304177e-11
1.9174730455173377 319.44289738939926 13596786560693.586 8.397631208241528e-06 2.349399955375222e-11
1.9165145486188038 378.9263476626953 13297169517049.379 1.0185806943851178e-05 2.8496767464447464e-11
1.9155565308489368 749.5171201172652 14076584900642.637 1.9031985370984577e-05 5.324566472675113e-11
1.9145989919682331 542.115998133288 11928744166202.68 1.6244163096603903e-05 4.544619203664771e-11
1.9136419317373068 141.47523323547315 12956596005006.719 3.902917247874957e-06 1.0919166822891133e-11
1.9126853499168932 271.05547662852825 12633402206138.613 7.66898177485736e-06 2.1455461656783277e-11
1.9117292462678475 518.080061474518 12185740168841.564 1.5196543129650194e-05 4.251527230157322e-11
1.9107736205511427 278.69059111382074 12168117556831.178 8.186509156687372e-06 2.2903344729552186e-11
1.9098184725278728 1352.3902641565396 12609511092628.031 3.833572046283892e-05 1.072516019235032e-10
1.9088638019592516 313.2688805651075 12990747592509.992 8.619517437269491e-06 2.4114769248978965e-11
1.90790960860661 508.7349110219913 11058007600036.816 1.6444266227326135e-05 4.6006019295944195e-11
1.906955892231401 208.38119459156982 11835402037614.957 6.2932553009724e-06 1.7606600428891076e-11
1.9060026525951943 308.16818809488365 11243888605420.46 9.796503828778718e-06 2.740761660928602e-11
1.9050498894596808 319.3170211897776 13595221216854.074 8.395288644987232e-06 2.3487445779397723e-11
1.9040976025866694 1199.6846906660878 12345115726407.854 3.4735359122572234e-05 9.717889384380593e-11
1.9031457917380883 476.4438970046971 11391746665840.682 1.4949314957329049e-05 4.182360361237341e-11
1.9021944566759847 602.6727631151913 12311130988132.713 1.7497800251946027e-05 4.895348475263047e-11
1.9012435971625254 1207.0298599335838 12350111985409.266 3.493389096168713e-05 9.773432511054145e-11
1.900293212959995 467.067522095188 11473924568892.57 1.4550151686181309e-05 4.0706867061116474e-11
1.8993433038307974 558.0150386267281 12515352994912.799 1.5936855762931978e-05 4.458644025890027e-11
1.8983938695374556 581.2573392220686 11222503167677.434 1.851307475845594e-05 5.1793911798232385e-11
1.8974449098426105 658.6636476119917 12698270889195.336 1.8540393586535907e-05 5.187034151023139e-11
1.8964964245090228 1025.6377767203846 14181340775574.643 2.5850952960733028e-05 7.23230470906461e-11
1.8955484132995706 1570.560857432017 14452731724389.41 3.8842276030529216e-05 1.0866878922146249e-10
1.8946008759772517 1007.9606860593435 10521142077638.648 3.424368946957646e-05 9.580335277494598e-11
1.8936538123051814 686.9593846355119 13819586964073.033 1.7767889298217525e-05 4.9709111163843715e-11
1.8927072220465935 1167.0088723108236 10470324794762.852 3.983949694317459e-05 1.1145870784204797e-10
1.8917611049648408 1184.001845439311 12092621355157.564 3.499707650273824e-05 9.791109889786868e-11
1.8908154608233938 1466.224320409143 11710855971101.223 4.475191469543057e-05 1.2520214782141733e-10
1.889870289385842 406.56661177469704 10793936780905.926 1.3463304933920704e-05 3.7666202797657505e-11
1.8889255904158915 2097.6402844841973 14821361471094.232 5.058744645413162e-05 1.4152817800005606e-10
1.8879813636773681 1494.492362564422 12708069313278.857 4.2035282170152485e-05 1.1760184224072525e-10
1.8870376089342156 598.4794217588766 11340217248640.387 1.886373512102097e-05 5.27749520698671e-11
1.8860943259504945 1696.44293619757 10922011199331.988 5.551834102048292e-05 1.5532331044499641e-10
1.8851515144903845 473.02586325877695 9847789107738.78 1.7169039090884285e-05 4.803371173810522e-11
1.8842091743181824 600.1307789109838 12656967688907.467 1.694790697646426e-05 4.741505182453273e-11
1.8832673051983035 1067.3120934978483 15152651619343.58 2.5176921978472434e-05 7.043731488786679e-11
1.8823259068952802 1205.5434181330186 13606651676665.117 3.166878714867317e-05 8.859956488784666e-11
1.8813849791737633 1369.5879020751104 13829919816625.36 3.539729627982119e-05 9.903079122907768e-11
1.8804445217985204 318.20934203916914 13530800845109.727 8.405997678291296e-06 2.351740637393061e-11
1.879504534534437 643.160135058467 11509406377214.703 1.997404551724911e-05 5.588126042119236e-11
1.8785650171465171 1044.3730339879605 10407874202780.982 3.586686823491298e-05 1.0034450970870729e-10
1.8776259693998807 809.2893670104586 12253693062680.756 2.360677597736546e-05 6.604452738213187e-11
1.876687391059766 1166.1944763148601 13356584802531.988 3.120867971350056e-05 8.731232523554871e-11
1.8757492818915285 2839.3225045040413 13954993495540.205 7.272520067262986e-05 2.0346283252739916e-10
1.8748116416606404 763.2050243570673 12140973532054.475 2.2469196921563692e-05 6.286192967491949e-11
1.8738744701326921 1147.5155646681917 14626844845323.205 2.8041921699719865e-05 7.84527064314283e-11
1.872937767073391 539.4761808373061 10704263636745.785 1.8014214075173902e-05 5.039825242956299e-11
1.8720015322485606 504.76625642798217 14279405678929.408 1.2635139016790506e-05 3.534924826548011e-11
1.8710657654241423 660.0779945889917 11296271126754.77 2.0886226776766155e-05 5.843326414374238e-11
1.870130466366195 545.1876462380193 15012887511561.654 1.2980206982532718e-05 3.631464272400376e-11
1.8691956348408938 1362.2056016134713 13602685488446.469 3.579462748877735e-05 1.0014240223156448e-10
1.8682612706145298 196.98659943119839 14413503358284.871 4.88502703362688e-06 1.3666809139637147e-11
1.8673273734535132 665.5695771912443 11558259378770.738 2.0582630049792006e-05 5.758389350681192e-11
1.8663939431243688 954.1195363243617 15382222736197.363 2.217091080465644e-05 6.202741649808078e-11
1.8654609793937393 852.5582298087644 14304128105518.43 2.1304066157847953e-05 5.960225072927399e-11
1.8645284820283838 1126.6545042769799 13264396343314.133 3.0360093805850736e-05 8.493824182544618e-11
1.863596450795178 1451.9109383217683 13911258180740.057 3.7305546657220985e-05 1.0436949120331321e-10
1.862664885461114 2170.0337074178537 12309503873611.076 6.301236391577963e-05 1.7628929075443391e-10
1.8617337857933007 1175.4473790341278 13998109509534.111 3.00146751407726e-05 8.397186621761537e-11
1.8608031515589627 1179.1303608840706 12412674967169.871 3.395441720895793e-05 9.499405760665914e-11
1.8598729825254416 284.0384901043728 11856984820933.188 8.562543157526984e-06 2.3955372668008352e-11
1.8589432784601954 742.3928174274126 9226155954883.734 2.876158476526621e-05 8.04661032241101e-11
1.858014039130798 393.1489080793445 10210440406721.764 1.3762978800029e-05 3.850459847163161e-11
1.8570852643049394 1011.8463963001124 13482000278497.35 2.682625815054071e-05 7.50516522324897e-11
1.8561569537504257 620.2495590740136 14159879415227.156 1.5656935096484654e-05 4.380330798629639e-11
1.8552291072351792 658.5743027068169 12530377777695.582 1.8786265596365243e-05 5.2558216072231855e-11
1.8543017245272386 785.3546627213022 15799482700254.445 1.776735585862536e-05 4.970761876328105e-11
1.8533748053947583 1315.4718164664469 12895999540916.422 3.6460815739270396e-05 1.0200619287343477e-10
1.8524483496060082 1016.4642613711204 14978656011399.865 2.4255995777798445e-05 6.7860845498923e-11
1.8515223569293744 716.8239178593338 15065957066442.012 1.7006525878588027e-05 4.7579049555105334e-11
1.8505968271333588 514.7438195271155 10466555824983.383 1.757871757286308e-05 4.9179866627992e-11
1.849671759986579 883.2062250184154 14786424510340.586 2.1350044914453254e-05 5.973088520492314e-11
1.8487471552577681 548.2933226082635 9580754476308.836 2.045564076324058e-05 5.722861638549197e-11
1.8478230127157749 799.3921954836183 12272626519419.988 2.3282104164176184e-05 6.513619511020515e-11
1.8468993321295635 403.43931301037577 11595341369657.803 1.2436395321992853e-05 3.4793224291445066e-11
1.8459761132682144 1645.4352412982582 14385090333425.021 4.088538043420362e-05 1.143847694494448e-10
1.8450533559009221 1606.8017224853431 15350219480191.969 3.741515434798308e-05 1.0467613994436832e-10
1.8441310597969978 981.6894290274466 12981775580624.957 2.702961497339651e-05 7.562058232562568e-11
1.8432092247258671 1259.619005091363 13805337839169.027 3.261309440685684e-05 9.124144731304759e-11
